PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(µS),TRX_LAYER_ARRIVAL_TIME(µS),NW_LAYER_ARRIVAL_TIME(µS),MAC_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_ARRIVAL_TIME(µS),PHY_LAYER_START_TIME(µS),PHY_LAYER_END_TIME(µS),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,TCP_SYN,NODE-2,NODE-5,NODE-2,ROUTER-1,N/A,0.000,0.000,0.000,0.960,6.560,11.560,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,65535,1,0,True,False,False,0,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
0,N/A,Control_Packet,TCP_SYN,NODE-2,NODE-5,ROUTER-1,NODE-5,N/A,0.000,11.560,11.560,11.560,17.160,22.160,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,65535,1,0,True,False,False,0,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_SYNACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,22.160,22.160,22.160,22.160,27.760,32.760,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4380,5,2,True,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_SYNACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,22.160,32.760,32.760,32.760,38.360,43.360,N/A,0.000,24.000,44.000,70.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4380,5,2,True,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-5,NODE-2,ROUTER-1,N/A,43.360,43.360,43.360,43.360,48.640,53.640,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,4380,2,6,False,True,False,0,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-2,NODE-5,ROUTER-1,NODE-5,N/A,43.360,53.640,53.640,53.640,58.920,63.920,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,4380,2,6,False,True,False,0,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
1,0,Voice,App1_VOICE,NODE-2,NODE-5,NODE-2,ROUTER-1,0.000,43.360,43.360,43.360,49.600,67.680,72.680,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.168.0.1:36934,4380,2,0,False,False,False,160,192.168.0.2,192.168.0.1,192.168.0.2,192.168.0.1,
1,0,Voice,App1_VOICE,NODE-2,NODE-5,ROUTER-1,NODE-5,0.000,43.360,72.680,72.680,72.680,90.760,95.760,160.000,160.000,180.000,200.000,226.000,0.000,Successful,192.168.0.2:82,192.170.0.2:36934,4380,2,0,False,False,False,160,192.168.0.2,192.170.0.2,192.170.0.1,192.170.0.2,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,NODE-5,ROUTER-1,N/A,95.760,95.760,95.760,95.760,101.040,106.040,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.170.0.1:82,4381,6,162,False,True,False,0,192.170.0.2,192.170.0.1,192.170.0.2,192.170.0.1,
0,N/A,Control_Packet,TCP_ACK,NODE-5,NODE-2,ROUTER-1,NODE-2,N/A,95.760,106.040,106.040,106.040,111.320,116.320,N/A,0.000,20.000,40.000,66.000,0.000,Successful,192.170.0.2:36934,192.168.0.2:82,4381,6,162,False,True,False,0,192.170.0.2,192.168.0.2,192.168.0.1,192.168.0.2,
