Link Id,Link Type,Link Medium,Packet Id,Transmitter,Receiver,Packet Size(Bytes),Physical Out Time(ms),Physical In Time(ms),Throughput(Mbps),
1,P2P,Wired,0,WIRED_NODE_2,ROUTER_1,70.000000,0.006560,0.011560,-1,
3,P2P,Wired,0,ROUTER_1,WIRED_NODE_5,70.000000,0.017160,0.022160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,70.000000,0.027760,0.032760,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,70.000000,0.038360,0.043360,-1,
1,P2P,Wired,0,WIRED_NODE_2,ROUTER_1,66.000000,0.048640,0.053640,-1,
3,P2P,Wired,0,ROUTER_1,WIRED_NODE_5,66.000000,0.058920,0.063920,-1,
1,P2P,Wired,1,WIRED_NODE_2,ROUTER_1,226.000000,0.067680,0.072680,-1,
3,P2P,Wired,1,ROUTER_1,WIRED_NODE_5,226.000000,0.090760,0.095760,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,0.101040,0.106040,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,0.111320,0.116320,-1,
1,P2P,Wired,2,WIRED_NODE_2,ROUTER_1,226.000000,20.018080,20.023080,-1,
3,P2P,Wired,2,ROUTER_1,WIRED_NODE_5,226.000000,20.041160,20.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,20.051440,20.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,20.061720,20.066720,-1,
1,P2P,Wired,3,WIRED_NODE_2,ROUTER_1,226.000000,40.018080,40.023080,-1,
3,P2P,Wired,3,ROUTER_1,WIRED_NODE_5,226.000000,40.041160,40.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,40.051440,40.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,40.061720,40.066720,-1,
1,P2P,Wired,4,WIRED_NODE_2,ROUTER_1,226.000000,60.018080,60.023080,-1,
3,P2P,Wired,4,ROUTER_1,WIRED_NODE_5,226.000000,60.041160,60.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,60.051440,60.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,60.061720,60.066720,-1,
1,P2P,Wired,5,WIRED_NODE_2,ROUTER_1,226.000000,80.018080,80.023080,-1,
3,P2P,Wired,5,ROUTER_1,WIRED_NODE_5,226.000000,80.041160,80.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,80.051440,80.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,80.061720,80.066720,-1,
1,P2P,Wired,6,WIRED_NODE_2,ROUTER_1,226.000000,100.018080,100.023080,-1,
3,P2P,Wired,6,ROUTER_1,WIRED_NODE_5,226.000000,100.041160,100.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,100.051440,100.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,100.061720,100.066720,-1,
1,P2P,Wired,7,WIRED_NODE_2,ROUTER_1,226.000000,120.018080,120.023080,-1,
3,P2P,Wired,7,ROUTER_1,WIRED_NODE_5,226.000000,120.041160,120.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,120.051440,120.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,120.061720,120.066720,-1,
1,P2P,Wired,8,WIRED_NODE_2,ROUTER_1,226.000000,140.018080,140.023080,-1,
3,P2P,Wired,8,ROUTER_1,WIRED_NODE_5,226.000000,140.041160,140.046160,-1,
3,P2P,Wired,0,WIRED_NODE_5,ROUTER_1,66.000000,140.051440,140.056440,-1,
1,P2P,Wired,0,ROUTER_1,WIRED_NODE_2,66.000000,140.061720,140.066720,-1,
